SCATS_Number,Time,Average_Traffic_Volume
2827,06:45,115.44
2827,07:00,127.29
2827,07:15,149.75
2827,07:30,164.81
2827,07:45,169.80
2827,08:00,176.83
2827,08:15,177.02
2827,08:30,187.44
2827,08:45,178.85
2827,09:00,162.98
2827,09:15,156.23
2827,09:30,157.07
2827,09:45,140.19
2827,10:00,143.94
2827,10:15,148.27
2827,10:30,149.92
2827,10:45,136.78
2827,11:00,146.31
2827,11:15,151.46
2827,11:30,155.17
2827,11:45,155.06
2827,12:00,159.18
2827,12:15,162.66
2827,12:30,162.82
2827,12:45,157.65
2827,13:00,158.85
2827,13:15,159.57
2827,13:30,158.52
2827,13:45,156.19
2827,14:00,156.47
2827,14:15,166.17
2827,14:30,172.33
2827,14:45,178.95
2827,15:00,188.85
2827,15:15,212.12
2827,15:30,222.39
2827,15:45,233.20
2827,16:00,232.47
2827,16:15,237.81
2827,16:30,242.69
2827,16:45,247.72
2827,17:00,259.75
2827,17:15,271.92
2827,17:30,272.40
2827,17:45,258.59
2827,18:00,263.06
2827,18:15,247.25
2827,18:30,224.71
2827,18:45,194.65
2827,19:00,175.19
2827,19:15,154.85
2827,19:30,137.22
2827,19:45,116.10
2827,20:00,108.05
2827,20:15,103.91
2827,20:30,97.56
2827,20:45,91.63
2827,21:00,93.30
2827,21:15,92.28
2827,21:30,90.14
2827,21:45,86.95
2827,22:00,84.23
2827,22:15,81.76
2827,22:30,73.63
2827,22:45,69.43
2827,23:00,60.73
2827,23:15,57.70
2827,23:30,51.10
2827,23:45,43.39
2846,00:00,20.12
2846,00:15,17.52
2846,00:30,14.79
2846,00:45,12.30
2846,01:00,11.38
2846,01:15,9.77
2846,01:30,8.98
2846,01:45,7.19
2846,02:00,7.09
2846,02:15,5.84
2846,02:30,5.90
2846,02:45,5.64
2846,03:00,5.19
2846,03:15,5.53
2846,03:30,5.61
2846,03:45,4.85
2846,04:00,5.23
2846,04:15,6.87
2846,04:30,6.79
2846,04:45,7.71
2846,05:00,8.90
2846,05:15,11.92
2846,05:30,17.91
2846,05:45,22.47
2846,06:00,27.36
2846,06:15,39.29
2846,06:30,58.13
2846,06:45,73.85
2846,07:00,89.51
2846,07:15,113.93
2846,07:30,135.44
2846,07:45,144.31
2846,08:00,145.07
2846,08:15,141.28
2846,08:30,135.11
2846,08:45,125.35
2846,09:00,111.01
2846,09:15,103.73
2846,09:30,99.65
2846,09:45,98.00
2846,10:00,86.58
2846,10:15,91.12
2846,10:30,89.38
2846,10:45,92.49
2846,11:00,88.45
2846,11:15,92.69
2846,11:30,93.03
2846,11:45,98.40
2846,12:00,94.51
2846,12:15,96.15
2846,12:30,93.74
2846,12:45,95.75
2846,13:00,91.52
2846,13:15,93.35
2846,13:30,90.90
2846,13:45,94.69
2846,14:00,89.60
2846,14:15,91.52
2846,14:30,93.75
2846,14:45,98.33
2846,15:00,104.33
2846,15:15,113.26
2846,15:30,118.37
2846,15:45,119.09
2846,16:00,124.65
2846,16:15,130.52
2846,16:30,125.43
2846,16:45,130.26
2846,17:00,135.63
2846,17:15,149.37
2846,17:30,152.26
2846,17:45,147.12
2846,18:00,148.48
2846,18:15,138.58
2846,18:30,126.69
2846,18:45,112.84
2846,19:00,98.82
2846,19:15,93.68
2846,19:30,78.35
2846,19:45,70.30
2846,20:00,61.66
2846,20:15,58.02
2846,20:30,55.85
2846,20:45,52.15
2846,21:00,51.21
2846,21:15,50.21
2846,21:30,48.91
2846,21:45,46.15
2846,22:00,44.92
2846,22:15,41.06
2846,22:30,38.40
2846,22:45,34.58
2846,23:00,32.24
2846,23:15,28.98
2846,23:30,25.00
2846,23:45,21.59
3001,00:00,64.21
3001,00:15,56.35
3001,00:30,56.95
3001,00:45,56.39
3001,01:00,45.71
3001,01:15,23.95
3001,01:30,30.86
3001,01:45,19.11
3001,02:00,18.53
3001,02:15,18.17
3001,02:30,19.21
3001,02:45,18.84
3001,03:00,19.98
3001,03:15,18.00
3001,03:30,17.27
3001,03:45,18.04
3001,04:00,20.07
3001,04:15,19.44
3001,04:30,22.78
3001,04:45,27.85
3001,05:00,38.72
3001,05:15,39.42
3001,05:30,59.05
3001,05:45,71.35
3001,06:00,88.56
3001,06:15,107.63
3001,06:30,133.86
3001,06:45,154.69
3001,07:00,190.76
3001,07:15,218.75
3001,07:30,245.15
3001,07:45,230.74
3001,08:00,244.86
3001,08:15,204.59
3001,08:30,225.13
3001,08:45,231.04
3001,09:00,241.11
3001,09:15,194.74
3001,09:30,194.68
3001,09:45,191.08
3001,10:00,194.33
3001,10:15,174.14
3001,10:30,197.43
